0,-69.42949506,,,,,,,,,,,,,,,,,
0.5,-69.05783822,,,,,,,,,,,,,,,,,
1,-68.31452454,,,,,,,,,,,,,,,,,
1.5,-66.64206875,,,,,,,,,,,,,,,,,
2,-64.78378454,,,,,,,,,,,,,,,,,
2.5,-61.81052981,,,,,,,,,,,,,,,,,
3,-59.11601771,,,,,,,,,,,,,,,,,
3.5,-55.4923635,,,,,,,,,,,,,,,,,
4,-52.51910877,,,,,,,,,,,,,,,,,
4.5,-48.98836878,,,,,,,,,,,,,,,,,
5,-46.29385668,,,,,,,,,,,,,,,,,
5.5,-43.69225879,,,,,,,,,,,,,,,,,
6,-41.74106037,,,,,,,,,,,,,,,,,
6.5,-40.16151879,,,,,,,,,,,,,,,,,
7,-39.13946248,,,,,,,,,,,,,,,,,
7.5,-38.76780564,,,,,,,,,,,,,,,,,
8,-38.58197721,,,,,,,,,,,,,,,,,
8.5,-39.3252909,,,,,,,,,,,,,,,,,
9,-40.16151879,,,,,,,,,,,,,,,,,
9.5,-41.55523195,,,,,,,,,,,,,,,,,
10,-42.76311668,,,,,,,,,,,,,,,,,
10.5,-44.62140089,,,,,,,,,,,,,,,,,
11,-46.10802826,,,,,,,,,,,,,,,,,
11.5,-48.05922667,,,,,,,,,,,,,,,,,
12,-49.63876825,,,,,,,,,,,,,,,,,
12.5,-51.31122404,,,,,,,,,,,,,,,,,
13,-52.51910877,,,,,,,,,,,,,,,,,
13.5,-53.81990772,,,,,,,,,,,,,,,,,
14,-54.93487824,,,,,,,,,,,,,,,,,
14.5,-56.04984877,,,,,,,,,,,,,,,,,
15,-56.88607666,,,,,,,,,,,,,,,,,
15.5,-57.72230455,,,,,,,,,,,,,,,,,
16,-58.46561824,,,,,,,,,,,,,,,,,
16.5,-58.83727508,,,,,,,,,,,,,,,,,
17,-59.30184613,,,,,,,,,,,,,,,,,
17.5,-59.67350297,,,,,,,,,,,,,,,,,
18,-59.9522456,,,,,,,,,,,,,,,,,
18.5,-59.85933139,,,,,,,,,,,,,,,,,
19,-59.85933139,,,,,,,,,,,,,,,,,
19.5,-59.39476034,,,,,,,,,,,,,,,,,
20,-59.0231035,,,,,,,,,,,,,,,,,
20.5,-58.00104718,,,,,,,,,,,,,,,,,
21,-56.97899087,,,,,,,,,,,,,,,,,
21.5,-55.21362087,,,,,,,,,,,,,,,,,
22,-53.6340793,,,,,,,,,,,,,,,,,
22.5,-51.12539562,,,,,,,,,,,,,,,,,
23,-48.80254036,,,,,,,,,,,,,,,,,
23.5,-45.6434572,,,,,,,,,,,,,,,,,
24,-42.85603089,,,,,,,,,,,,,,,,,
24.5,-39.04654827,,,,,,,,,,,,,,,,,
25,-35.7945509,,,,,,,,,,,,,,,,,
25.5,-31.79923986,,,,,,,,,,,,,,,,,
26,-27.80392881,,,,,,,,,,,,,,,,,
26.5,-24.18027461,,,,,,,,,,,,,,,,,
27,-19.90622093,,,,,,,,,,,,,,,,,
27.5,-16.56130935,,,,,,,,,,,,,,,,,
28,-12.56599831,,,,,,,,,,,,,,,,,
28.5,-9.221086734,,,,,,,,,,,,,,,,,
29,-5.318689898,,,,,,,,,,,,,,,,,
29.5,-2.438349376,,,,,,,,,,,,,,,,,
30,0.813647987,,,,,,,,,,,,,,,,,
30.5,3.415245878,,,,,,,,,,,,,,,,,
31,6.2955864,,,,,,,,,,,,,,,,,
31.5,8.71135587,,,,,,,,,,,,,,,,,
32,11.31295376,,,,,,,,,,,,,,,,,
32.5,13.26415218,,,,,,,,,,,,,,,,,
33,15.30826481,,,,,,,,,,,,,,,,,
33.5,16.98072059,,,,,,,,,,,,,,,,,
34,18.74609059,,,,,,,,,,,,,,,,,
34.5,20.04688954,,,,,,,,,,,,,,,,,
35,21.44060269,,,,,,,,,,,,,,,,,
35.5,22.55557322,,,,,,,,,,,,,,,,,
36,23.76345795,,,,,,,,,,,,,,,,,
36.5,24.59968584,,,,,,,,,,,,,,,,,
37,25.52882795,,,,,,,,,,,,,,,,,
37.5,26.17922742,,,,,,,,,,,,,,,,,
38,26.82962689,,,,,,,,,,,,,,,,,
38.5,27.38711216,,,,,,,,,,,,,,,,,
39,27.85168321,,,,,,,,,,,,,,,,,
39.5,28.13042584,,,,,,,,,,,,,,,,,
40,28.40916847,,,,,,,,,,,,,,,,,
40.5,28.59499689,,,,,,,,,,,,,,,,,
41,28.87373952,,,,,,,,,,,,,,,,,
41.5,28.96665373,,,,,,,,,,,,,,,,,
42,29.15248215,,,,,,,,,,,,,,,,,
42.5,29.24539636,,,,,,,,,,,,,,,,,
43,29.33831057,,,,,,,,,,,,,,,,,
43.5,29.33831057,,,,,,,,,,,,,,,,,
44,29.43122478,,,,,,,,,,,,,,,,,
44.5,29.43122478,,,,,,,,,,,,,,,,,
45,29.43122478,,,,,,,,,,,,,,,,,
45.5,29.43122478,,,,,,,,,,,,,,,,,
46,29.43122478,,,,,,,,,,,,,,,,,
46.5,29.43122478,,,,,,,,,,,,,,,,,
47,29.43122478,,,,,,,,,,,,,,,,,
47.5,29.43122478,,,,,,,,,,,,,,,,,
48,29.43122478,,,,,,,,,,,,,,,,,
48.5,29.33831057,,,,,,,,,,,,,,,,,
49,29.24539636,,,,,,,,,,,,,,,,,
49.5,29.24539636,,,,,,,,,,,,,,,,,
50,29.15248215,,,,,,,,,,,,,,,,,
50.5,28.96665373,,,,,,,,,,,,,,,,,
51,28.87373952,,,,,,,,,,,,,,,,,
51.5,28.6879111,,,,,,,,,,,,,,,,,
52,28.50208268,,,,,,,,,,,,,,,,,
52.5,28.13042584,,,,,,,,,,,,,,,,,
53,27.758769,,,,,,,,,,,,,,,,,
53.5,27.38711216,,,,,,,,,,,,,,,,,
54,26.82962689,,,,,,,,,,,,,,,,,
54.5,26.27214163,,,,,,,,,,,,,,,,,
55,25.52882795,,,,,,,,,,,,,,,,,
55.5,24.69260006,,,,,,,,,,,,,,,,,
56,23.57762953,,,,,,,,,,,,,,,,,
56.5,22.64848743,,,,,,,,,,,,,,,,,
57,21.44060269,,,,,,,,,,,,,,,,,
57.5,20.32563217,,,,,,,,,,,,,,,,,
58,18.8390048,,,,,,,,,,,,,,,,,
58.5,17.44529165,,,,,,,,,,,,,,,,,
59,15.77283586,,,,,,,,,,,,,,,,,
59.5,13.82163744,,,,,,,,,,,,,,,,,
60,12.05626744,,,,,,,,,,,,,,,,,
60.5,9.826326394,,,,,,,,,,,,,,,,,
61,7.875127976,,,,,,,,,,,,,,,,,
61.5,5.459358506,,,,,,,,,,,,,,,,,
62,3.229417457,,,,,,,,,,,,,,,,,
62.5,0.534905356,,,,,,,,,,,,,,,,,
63,-1.695035693,,,,,,,,,,,,,,,,,
63.5,-4.482462005,,,,,,,,,,,,,,,,,
64,-6.898231474,,,,,,,,,,,,,,,,,
64.5,-9.964400417,,,,,,,,,,,,,,,,,
65,-12.38016989,,,,,,,,,,,,,,,,,
65.5,-15.35342462,,,,,,,,,,,,,,,,,
66,-17.76919409,,,,,,,,,,,,,,,,,
66.5,-21.02119145,,,,,,,,,,,,,,,,,
67,-23.62278934,,,,,,,,,,,,,,,,,
67.5,-26.59604408,,,,,,,,,,,,,,,,,
68,-29.10472776,,,,,,,,,,,,,,,,,
68.5,-32.07798249,,,,,,,,,,,,,,,,,
69,-34.58666617,,,,,,,,,,,,,,,,,
69.5,-37.37409248,,,,,,,,,,,,,,,,,
70,-39.69694774,,,,,,,,,,,,,,,,,
70.5,-42.29854563,,,,,,,,,,,,,,,,,
71,-44.34265826,,,,,,,,,,,,,,,,,
71.5,-46.94425615,,,,,,,,,,,,,,,,,
72,-48.89545457,,,,,,,,,,,,,,,,,
72.5,-51.03248141,,,,,,,,,,,,,,,,,
73,-52.70493719,,,,,,,,,,,,,,,,,
73.5,-54.5632214,,,,,,,,,,,,,,,,,
74,-56.04984877,,,,,,,,,,,,,,,,,
74.5,-57.35064771,,,,,,,,,,,,,,,,,
75,-58.46561824,,,,,,,,,,,,,,,,,
75.5,-59.67350297,,,,,,,,,,,,,,,,,
76,-60.50973086,,,,,,,,,,,,,,,,,
76.5,-61.25304455,,,,,,,,,,,,,,,,,
77,-61.81052981,,,,,,,,,,,,,,,,,
77.5,-62.36801507,,,,,,,,,,,,,,,,,
78,-62.73967191,,,,,,,,,,,,,,,,,
