stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494824,0.037932
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494825,0.0379335
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494826,0.0379349
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494827,0.0379363
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494828,0.0379375
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494829,0.037939
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.49483,0.0379402
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.49483,0.0379412
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494831,0.0379425
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494832,0.0379435
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494833,0.0379446
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494834,0.0379456
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494834,0.0379466
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494835,0.0379475
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494836,0.0379485
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494837,0.0379494
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494837,0.0379503
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494838,0.0379511
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494839,0.037952
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494839,0.0379528
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.49484,0.0379534
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.49484,0.0379542
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494841,0.0379549
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494841,0.0379556
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494842,0.0379563
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494842,0.037957
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494843,0.0379576
23,45,-0.0872665,0.698132,-0.174533,-0.174533,-0.104444,0.677203,-0.141541,-0.177066,1.71772,0.586016,-0.494843,0.0379582
