stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146316,0.159095,0.415708,0.494423,-0.846638,0.463183
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.415553,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.415357,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.415167,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414983,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414805,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414633,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414466,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414324,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414146,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.414012,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.413863,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.413718,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.41356,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146267,0.159138,0.413424,0.494423,-0.848098,0.461899
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146218,0.159181,0.413291,0.494423,-0.849572,0.460603
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146218,0.159181,0.413162,0.494423,-0.849572,0.460603
28,40,-0.567232,0.698132,-0.174533,0.174533,-0.56925,0.689303,-0.146218,0.159181,0.413036,0.494423,-0.849572,0.460603
