stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],passive_elbow_fe_trq [Nm],passive_forearm_ps_trq [Nm],passive_wrist_fe_trq [Nm],passive_wrist_ru_trq [Nm]
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.043,-0.691286,0.148242,0.131497,-0.838576,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.043,-0.691286,0.148242,0.131497,-0.838576,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04293,-0.691286,0.148242,0.131497,-0.852893,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04286,-0.691286,0.148242,0.131497,-0.876098,-0.383387,0.788689,1.29103,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04286,-0.691286,0.148231,0.131567,-0.876098,-0.383387,0.788996,1.28895,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04286,-0.691286,0.148231,0.131567,-0.876098,-0.383387,0.788996,1.28895,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04286,-0.691286,0.148231,0.131567,-0.876098,-0.383387,0.788996,1.28895,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04286,-0.691286,0.148231,0.131567,-0.876098,-0.383387,0.788996,1.28895,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04286,-0.691286,0.148231,0.131567,-0.876098,-0.383387,0.788996,1.28895,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04279,-0.691286,0.148279,0.131601,-0.904286,-0.383387,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04279,-0.691286,0.148279,0.131601,-0.904286,-0.383387,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04279,-0.691286,0.148279,0.131601,-0.904286,-0.383387,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04279,-0.691286,0.148279,0.131601,-0.904286,-0.383387,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04279,-0.691336,0.148279,0.131601,-0.904286,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04279,-0.691336,0.148279,0.131601,-0.904286,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04272,-0.691336,0.148279,0.131601,-0.919904,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04272,-0.691336,0.148279,0.131601,-0.919904,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04272,-0.691336,0.148279,0.131601,-0.919904,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04272,-0.691336,0.148279,0.131601,-0.919904,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04272,-0.691336,0.148279,0.131601,-0.919904,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
25,55,-1.0472,-0.698132,0.174533,0.174533,-1.04272,-0.691336,0.148279,0.131601,-0.919904,-0.380539,0.787604,1.28797,-0.795625,-0.36061,0.894157,1.45961
