stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],passive_elbow_fe_trq [Nm],passive_forearm_ps_trq [Nm],passive_wrist_fe_trq [Nm],passive_wrist_ru_trq [Nm]
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147057,0.125977,-1.1106,-0.520047,0.82416,1.45686,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147057,0.125977,-1.1106,-0.520047,0.824169,1.45686,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147057,0.125977,-1.1106,-0.520047,0.824178,1.45685,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147057,0.125977,-1.1106,-0.520047,0.824186,1.45685,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147057,0.125977,-1.1106,-0.520047,0.824194,1.45684,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147057,0.125977,-1.1106,-0.520047,0.824201,1.45684,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147009,0.125944,-1.1106,-0.520047,0.825646,1.45784,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147009,0.125944,-1.1106,-0.520047,0.825652,1.45784,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147009,0.125944,-1.1106,-0.520047,0.825658,1.45784,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147009,0.125944,-1.1106,-0.520047,0.825663,1.45783,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147009,0.125944,-1.1106,-0.520047,0.825668,1.45783,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147009,0.125944,-1.1106,-0.520047,0.825672,1.45783,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147068,0.125909,-1.1106,-0.520047,0.82394,1.45883,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14702,0.125876,-1.1106,-0.520047,0.82538,1.45984,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14702,0.125876,-1.1106,-0.520047,0.82538,1.45984,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14702,0.125876,-1.1106,-0.520047,0.82538,1.45984,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14702,0.125876,-1.1106,-0.520047,0.82538,1.45984,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14702,0.125876,-1.1106,-0.520047,0.82538,1.45984,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147031,0.125808,-1.1106,-0.520047,0.825062,1.46189,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147031,0.125808,-1.1106,-0.520047,0.825062,1.46189,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147031,0.125808,-1.1106,-0.520047,0.825062,1.46189,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147091,0.125773,-1.1106,-0.520047,0.823279,1.46292,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147043,0.12574,-1.1106,-0.520047,0.824771,1.46396,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147043,0.12574,-1.1106,-0.520047,0.824771,1.46396,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147043,0.12574,-1.1106,-0.520047,0.824771,1.46396,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147102,0.125705,-1.1106,-0.520047,0.822982,1.465,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147054,0.125672,-1.1106,-0.520047,0.824459,1.46603,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147054,0.125672,-1.1106,-0.520047,0.824459,1.46603,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147113,0.125638,-1.1106,-0.520047,0.822475,1.46717,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147065,0.125604,-1.1106,-0.520047,0.823957,1.46821,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147125,0.12557,-1.1106,-0.520047,0.822098,1.46928,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147125,0.12557,-1.1106,-0.520047,0.822098,1.46928,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147077,0.125536,-1.1106,-0.520047,0.823595,1.47033,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147136,0.125502,-1.1106,-0.520047,0.821805,1.47137,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147136,0.125502,-1.1106,-0.520047,0.821805,1.47137,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147088,0.125468,-1.1106,-0.520047,0.82327,1.47239,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147147,0.125434,-1.1106,-0.520047,0.82145,1.47344,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147099,0.1254,-1.1106,-0.520047,0.822934,1.47448,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147099,0.1254,-1.1106,-0.520047,0.822934,1.47448,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14711,0.125332,-1.1106,-0.520047,0.822637,1.47655,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14711,0.125332,-1.1106,-0.520047,0.822637,1.47655,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147122,0.125264,-1.1106,-0.520047,0.822296,1.4786,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147122,0.125264,-1.1106,-0.520047,0.822296,1.4786,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147122,0.125264,-1.1106,-0.520047,0.822296,1.4786,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147133,0.125196,-1.1106,-0.520047,0.821984,1.48065,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147133,0.125196,-1.1106,-0.520047,0.821984,1.48065,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147144,0.125128,-1.1106,-0.520047,0.821637,1.48269,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147144,0.125128,-1.1106,-0.520047,0.821637,1.48269,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147144,0.125128,-1.1106,-0.520047,0.821637,1.48269,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147155,0.12506,-1.1106,-0.520047,0.821255,1.48473,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147155,0.12506,-1.1106,-0.520047,0.821255,1.48473,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147155,0.12506,-1.1106,-0.520047,0.821255,1.48473,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147167,0.124992,-1.1106,-0.520047,0.820919,1.48672,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147167,0.124992,-1.1106,-0.520047,0.820919,1.48672,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147178,0.124924,-1.1106,-0.520047,0.820571,1.48878,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147178,0.124924,-1.1106,-0.520047,0.820571,1.48878,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14713,0.124891,-1.1106,-0.520047,0.822023,1.4898,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147179,0.124925,-1.1106,-0.520047,0.820565,1.48875,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147131,0.124892,-1.1106,-0.520047,0.822035,1.48977,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14719,0.124858,-1.1106,-0.520047,0.820223,1.49082,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14719,0.124858,-1.1106,-0.520047,0.820223,1.49082,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.14718,0.124927,-1.1106,-0.520047,0.820531,1.48875,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147191,0.124859,-1.1106,-0.520047,0.82016,1.49079,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147191,0.124859,-1.1106,-0.520047,0.82016,1.49079,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147203,0.124791,-1.1106,-0.520047,0.819814,1.49281,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147203,0.124791,-1.1106,-0.520047,0.819814,1.49281,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147204,0.124792,-1.1106,-0.520047,0.819744,1.49281,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147204,0.124792,-1.1106,-0.520047,0.819744,1.49281,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147215,0.124724,-1.1106,-0.520047,0.819412,1.49483,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147215,0.124724,-1.1106,-0.520047,0.819412,1.49483,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147216,0.124725,-1.1106,-0.520047,0.819404,1.49486,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147216,0.124725,-1.1106,-0.520047,0.819404,1.49486,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147227,0.124657,-1.1106,-0.520047,0.819059,1.49696,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147217,0.124726,-1.1106,-0.520047,0.819417,1.49455,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147228,0.124658,-1.1106,-0.520047,0.819072,1.49658,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147228,0.124658,-1.1106,-0.520047,0.819072,1.49658,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147229,0.124659,-1.1106,-0.520047,0.819087,1.49654,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147181,0.124626,-1.1106,-0.520047,0.820562,1.49757,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147181,0.124626,-1.1106,-0.520047,0.820562,1.49757,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147182,0.124627,-1.1106,-0.520047,0.820544,1.49745,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147242,0.124593,-1.1106,-0.520047,0.818755,1.49848,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147231,0.124662,-1.1106,-0.520047,0.819074,1.49633,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147183,0.124628,-1.1106,-0.520047,0.820504,1.49733,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147194,0.12456,-1.1106,-0.520047,0.820199,1.49936,-1.30582,-0.555975,0.809507,1.16103
19,40,-1.0472,-0.698132,0.174533,0.174533,-1.04164,-0.688845,0.147136,0.124595,-1.1106,-0.520047,0.821971,1.49826,-1.30582,-0.555975,0.809507,1.16103
