Time (s),Elbow F/E Pos,Forearm P/S Pos,Wrist F/E Pos,Wrist R/U Pos,Last DoF Pos,Elbow F/E Pos (Deg),Forearm P/S Pos (Deg),Wrist F/E Pos (Deg),Wrist R/U Pos (Deg),Last DoF Pos (Deg),Robot Joint 1 Pos,Robot Joint 2 Pos,Robot Joint 3 Pos,Robot Joint 4 Pos,Robot Joint 5 Pos,Elbow F/E Vel,Forearm P/S Vel,Wrist F/E Vel,Wrist R/U Pos,Last DoF Pos,Robot Joint 1 Vel,Robot Joint 2 Vel,Robot Joint 3 Vel,Robot Joint 4 Vel,Robot Joint 5 Vel
2.02439,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0254,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.02639,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.02741,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.02839,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.02939,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0304,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.03139,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0324,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.03341,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.03439,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0354,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0364,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0374,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0384,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.03941,-0.371101,-0.57491,0.125719,-0.0663713,0.0887635,-21.26252107,-32.9399166,7.203168105,-3.802795371,5.085773925,-0.371101,-0.57491,0.106243,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0404,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.0414,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04241,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04341,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04441,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04541,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04641,-0.371101,-0.57491,0.125708,-0.0663093,0.0887619,-21.26252107,-32.9399166,7.202537851,-3.799243032,5.085682252,-0.371101,-0.57491,0.106239,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04741,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04841,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.04941,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05041,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
2.05141,-0.371101,-0.57491,0.125697,-0.0662474,0.0887603,-21.26252107,-32.9399166,7.201907597,-3.795696424,5.085590578,-0.371101,-0.57491,0.106234,0.0967172,0.105616,0,0,0,0,0,0,0,0,0,0
