Time (s),anat_pos_1,anat_pos_2,anat_pos_3,anat_pos_4,anat_pos_5,robo_pos_1,robo_pos_2,robo_pos_3,robo_pos_4,robo_pos_5,anat_vel_1,anat_vel_2,anat_vel_3,anat_vel_4,anat_vel_5,robo_vel_1,robo_vel_2,robo_vel_3,robo_vel_4,robo_vel_5
0.04832,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.050151,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.050557,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.051558,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.052569,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.053564,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.054562,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.055562,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.056565,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.057576,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.058584,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
0.059567,-0.346117,-0.0142355,-0.172656,-0.210255,0.108994,-0.346117,-0.0142355,0.130323,0.12336,0.10972,0,0,0,0,0,0,0,0,0,0
