time (s),elbow fe,forearm ps,wrist fe,wrist ru
46.5,21.5474287,-18.56240259,-27.70072993,-9.092498541
47,20.89726446,-18.41383834,-27.70072993,-9.687140036
47.5,20.06133899,-18.26527409,-27.70072993,-10.35611172
48,19.03965232,-18.11670983,-27.70072993,-10.72776265
48.5,17.83220442,-18.11670983,-27.5889203,-10.87642303
49,16.62475653,-18.11670983,-27.47711067,-10.87642303
49.5,15.13866682,-17.96814558,-27.25349141,-10.80209284
50,13.74545772,-17.96814558,-26.97396734,-10.4304419
50.5,12.07360679,-17.96814558,-26.63853846,-9.761470223
51,10.68039769,-17.96814558,-26.19129995,-9.315489102
51.5,8.729904939,-17.96814558,-25.68815662,-8.795177794
52,7.058054013,-17.81958133,-25.01729885,-8.274866486
52.5,4.921800052,-17.81958133,-24.34644108,-7.605894805
53,3.157068519,-17.81958133,-23.61967849,-7.01125331
53.5,0.835053345,-17.81958133,-23.00472554,-6.416611815
54,-1.115439402,-17.81958133,-22.50158221,-5.747640133
54.5,-3.34457397,-17.81958133,-21.77481963,-5.004338265
55,-5.480827931,-17.81958133,-21.04805704,-4.335366583
55.5,-7.802843106,-17.96814558,-20.20948483,-3.666394902
56,-9.939097067,-17.96814558,-19.42681743,-3.146083594
56.5,-12.35399285,-17.96814558,-18.58824522,-2.477111912
57,-14.49024681,-18.11670983,-17.86148264,-2.031130791
57.5,-16.90514259,-18.19099196,-17.13472005,-1.58514967
58,-19.04139655,-18.26527409,-16.5197671,-1.213498736
58.5,-21.45629233,-18.56240259,-15.7370997,-0.841847802
59,-23.49966569,-18.71096684,-14.89852749,-0.544527054
59.5,-25.91456147,-18.8595311,-14.11586009,-0.247206307
60,-27.95793482,-19.00809535,-13.27728788,-0.024215746
60.5,-30.37283061,-19.1566596,-12.60643011,0.124444627
61,-32.32332335,-19.23094173,-11.93557234,0.273105001
61.5,-34.45957731,-19.23094173,-11.3765242,0.496095562
62,-36.31718945,-19.23094173,-10.70566643,0.570425748
62.5,-38.54632402,-19.23094173,-10.14661829,0.719086122
63,-40.31105555,-19.23094173,-9.475760516,0.793416309
63.5,-42.35442891,-19.23094173,-8.916712375,0.867746496
64,-43.93339923,-19.23094173,-8.189949791,0.867746496
64.5,-45.88389197,-19.30522386,-7.63090165,0.867746496
65,-47.46286229,-19.30522386,-7.127758322,0.719086122
65.5,-49.22759383,-19.30522386,-6.568710181,0.719086122
66,-50.71368354,-19.23094173,-6.121471668,0.719086122
66.5,-52.38553446,-19.30522386,-5.618328341,0.719086122
67,-53.59298235,-19.30522386,-5.226994642,0.719086122
67.5,-54.98619146,-19.30522386,-4.723851314,0.570425748
68,-56.10075874,-19.30522386,-4.388422429,0.570425748
68.5,-57.40108724,-19.37950598,-4.052993545,0.496095562
69,-58.32989331,-19.45378811,-3.773469474,0.496095562
69.5,-59.44446059,-19.45378811,-3.549850217,0.496095562
70,-60.18750545,-19.45378811,-3.326230961,0.496095562
70.5,-61.02343091,-19.45378811,-3.214421332,0.496095562
71,-61.76647577,-19.45378811,-3.04670689,0.496095562
71.5,-62.50952063,-19.37950598,-2.990802076,0.496095562
72,-63.15968487,-19.30522386,-2.990802076,0.570425748
72.5,-63.80984912,-19.23094173,-2.990802076,0.719086122
73,-64.36713277,-19.1566596,-3.102611704,0.719086122
73.5,-64.64577459,-19.08237748,-3.102611704,0.867746496
74,-64.92441641,-19.00809535,-3.214421332,0.867746496
74.5,-65.11017762,-19.00809535,-3.326230961,1.016406869
75,-65.29593884,-19.00809535,-3.326230961,1.016406869
75.5,-65.11017762,-19.08237748,-3.438040589,1.016406869
76,-65.11017762,-19.1566596,-3.438040589,1.016406869
76.5,-64.92441641,-19.1566596,-3.549850217,1.016406869
77,-64.73865519,-19.23094173,-3.71756466,1.016406869
77.5,-64.55289398,-19.30522386,-3.99708873,0.942076683
78,-64.08849094,-19.30522386,-4.276612801,0.867746496
78.5,-63.62408791,-19.30522386,-4.779756128,0.719086122
79,-62.97392366,-19.30522386,-5.226994642,0.644755935
79.5,-62.32375941,-19.1566596,-5.730137969,0.570425748
80,-61.30207273,-19.00809535,-6.28918611,0.421765375
80.5,-60.28038606,-18.8595311,-6.904139066,0.273105001
81,-58.98005756,-18.56240259,-7.574996836,0.124444627
81.5,-57.95837088,-18.26527409,-8.078140163,-0.024215746
82,-56.56516178,-17.89386346,-8.748997933,-0.098545933
82.5,-55.35771389,-17.59673495,-9.196236446,-0.17287612
83,-53.87162418,-17.07676007,-9.699379773,-0.247206307
83.5,-52.75705689,-16.77963156,-10.14661829,-0.247206307
84,-51.27096718,-16.3339388,-10.64976161,-0.321536494
84.5,-50.1563999,-15.96252817,-11.04109531,-0.395866681
85,-48.948952,-15.59111754,-11.54423864,-0.470196867
85.5,-47.92726533,-15.21970691,-11.87966752,-0.470196867
86,-46.90557865,-14.77401415,-12.21509641,-0.470196867
86.5,-46.06965319,-14.25403927,-12.43871567,-0.470196867
87,-45.23372772,-13.65978226,-12.60643011,-0.321536494
87.5,-44.76932469,-13.13980737,-12.60643011,-0.17287612
88,-44.30492165,-12.47126823,-12.60643011,0.124444627
88.5,-44.11916044,-11.87701122,-12.49462048,0.421765375
89,-43.93339923,-11.05990783,-12.38281085,0.942076683
89.5,-44.11916044,-10.46565082,-12.27100122,1.388057804
90,-44.39780226,-9.574265308,-11.99147715,2.057029485
90.5,-44.76932469,-8.980008297,-11.43242901,2.65167098
91,-45.51236955,-8.31146916,-10.87338087,3.320642662
91.5,-46.34829501,-7.791494276,-9.92299903,3.989614343
92,-47.46286229,-7.271519392,-9.028522003,4.658586025
92.5,-48.57742958,-6.974390887,-7.854520906,5.401887893
93,-49.87775807,-6.825826634,-6.736424623,6.219519949
93.5,-51.08520597,-6.825826634,-5.730137969,6.962821817
94,-52.66417628,-6.825826634,-4.556136872,7.854784059
94.5,-53.96450478,-6.825826634,-3.661659846,8.672416114
95,-55.5434751,-6.825826634,-2.655373191,9.638708543
95.5,-56.8438036,-6.825826634,-1.872705793,10.53067079
96,-58.51565452,-6.974390887,-0.922323953,11.34830284
96.5,-59.90886363,-7.122955139,-0.251466183,12.09160471
97,-61.39495334,-7.271519392,0.475296401,12.98356695
97.5,-62.69528184,-7.420083644,1.090249357,13.57820845
98,-64.08849094,-7.568647897,1.761107126,14.24718013
98.5,-65.11017762,-7.71721215,2.264250454,14.76749144
99,-66.1318643,-7.865776402,2.543774524,15.21347256
99.5,-66.78202855,-7.865776402,2.823298595,15.58512349
100,-67.06067037,-7.940058529,2.823298595,15.58512349
