stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159212,0.148691,3.27795,0.33224,-0.459696,0.775302
22,30,-0.0872665,0.698132,-0.174533,0.174533,-0.103656,0.692201,-0.159209,0.148618,3.27795,0.33224,-0.459795,0.777459
