stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.191977,-0.174579,3.86495,0.465738,-0.523375,0.00139976
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.191977,-0.174579,3.86495,0.465738,-0.523375,0.00139976
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.191977,-0.174579,3.86495,0.465738,-0.523375,0.00139976
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
26,40,-0.0872665,0.698132,0.174533,-0.174533,-0.106591,0.689811,0.19205,-0.17461,3.86495,0.465738,-0.52557,0.00230468
