stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],passive_elbow_fe_trq [Nm],passive_forearm_ps_trq [Nm],passive_wrist_fe_trq [Nm],passive_wrist_ru_trq [Nm]
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688794,-0.162453,-0.184472,-1.40727,-0.522894,-0.362531,0.298231,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688794,-0.162453,-0.184472,-1.40727,-0.522894,-0.362531,0.298231,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688794,-0.162453,-0.184472,-1.40727,-0.522894,-0.362531,0.298231,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688794,-0.162453,-0.184472,-1.40727,-0.522894,-0.362531,0.298231,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688794,-0.162453,-0.184472,-1.40727,-0.522894,-0.362531,0.298231,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688794,-0.162453,-0.184472,-1.40727,-0.522894,-0.362529,0.29823,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362525,0.298228,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362521,0.298227,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362518,0.298226,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362515,0.298225,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362511,0.298224,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362509,0.298223,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362506,0.298222,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362503,0.298221,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362501,0.298221,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362498,0.29822,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362496,0.298219,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362494,0.298218,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362491,0.298218,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362489,0.298217,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362487,0.298216,-1.5258,-0.454564,-0.299957,0.167279
25,55,-1.0472,-0.698132,-0.174533,-0.174533,-1.04021,-0.688845,-0.162453,-0.184472,-1.40727,-0.520047,-0.362486,0.298216,-1.5258,-0.454564,-0.299957,0.167279
