time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0.038303,0.9,0.1,-0.689219,0.000559187,0.148543,-0.0626628,-0.689228,0.000559251,0.14856,-0.06267,9.02257e-05,-1.80296e-07,-2.56576e-05,1.08236e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.039303,0.9,0.1,-0.689219,0.000559185,0.148543,-0.0626626,-0.689228,0.000559251,0.14856,-0.06267,9.25671e-05,-1.84975e-07,-2.63234e-05,1.11045e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.040303,0.9,0.1,-0.689218,0.000559184,0.148542,-0.0626624,-0.689228,0.000559251,0.14856,-0.06267,9.49132e-05,-1.89663e-07,-2.69906e-05,1.1386e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.041303,0.9,0.1,-0.689218,0.000559182,0.148542,-0.0626623,-0.689228,0.000559251,0.14856,-0.06267,9.72947e-05,-1.94422e-07,-2.76678e-05,1.16716e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.042303,0.9,0.1,-0.689218,0.00055918,0.148542,-0.0626621,-0.689228,0.000559251,0.14856,-0.06267,9.96904e-05,-1.99209e-07,-2.83491e-05,1.1959e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.043303,0.9,0.1,-0.689218,0.000559179,0.148541,-0.0626619,-0.689228,0.000559251,0.14856,-0.06267,0.000102008,-2.03841e-07,-2.90082e-05,1.22371e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.044303,0.9,0.1,-0.689217,0.000559177,0.148541,-0.0626617,-0.689228,0.000559251,0.14856,-0.06267,0.00010438,-2.08581e-07,-2.96828e-05,1.25216e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.045304,0.9,0.1,-0.689217,0.000559175,0.14854,-0.0626615,-0.689228,0.000559251,0.14856,-0.06267,0.000106708,-2.13232e-07,-3.03446e-05,1.28008e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.046305,0.9,0.1,-0.689217,0.000559173,0.14854,-0.0626613,-0.689228,0.000559251,0.14856,-0.06267,0.00010912,-2.18052e-07,-3.10305e-05,1.30902e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.047305,0.9,0.1,-0.689217,0.000559172,0.148539,-0.0626611,-0.689228,0.000559251,0.14856,-0.06267,0.000111428,-2.22665e-07,-3.1687e-05,1.33671e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.048305,0.9,0.1,-0.689216,0.00055917,0.148539,-0.0626609,-0.689228,0.000559251,0.14856,-0.06267,0.000113817,-2.27438e-07,-3.23662e-05,1.36536e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.049305,0.9,0.1,-0.689216,0.000559168,0.148538,-0.0626607,-0.689228,0.000559251,0.14856,-0.06267,0.000116142,-2.32083e-07,-3.30273e-05,1.39325e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.050305,0.9,0.1,-0.689216,0.000559164,0.148537,-0.0626603,-0.689228,0.000559251,0.14856,-0.06267,0.000121907,-2.43605e-07,-3.46669e-05,1.46242e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.051305,0.9,0.1,-0.689214,0.000559153,0.148534,-0.062659,-0.689228,0.000559251,0.14856,-0.06267,0.000137684,-2.75132e-07,-3.91535e-05,1.65168e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.052305,0.9,0.1,-0.689212,0.000559142,0.148531,-0.0626578,-0.689228,0.000559251,0.14856,-0.06267,0.000153461,-3.06659e-07,-4.364e-05,1.84095e-05,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
