time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.7,0.3,-0.635395,0.000254202,0.210052,-0.0948403,-0.635395,0.000254205,0.210055,-0.0948415,9.36213e-06,-2.71656e-08,-1.20254e-05,5.42957e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.00441,0.7,0.3,-0.635395,0.000254202,0.210052,-0.0948402,-0.635395,0.000254205,0.210055,-0.0948415,9.867e-06,-2.86305e-08,-1.26739e-05,5.72237e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.005411,0.7,0.3,-0.635395,0.000254201,0.210052,-0.0948399,-0.635395,0.000254205,0.210055,-0.0948415,1.20902e-05,-3.50813e-08,-1.55295e-05,7.0117e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.006792,0.7,0.3,-0.635395,0.000254198,0.210049,-0.0948389,-0.635395,0.000254205,0.210124,-0.0948727,1.97871e-05,-5.74152e-08,-0.000336523,0.000152201,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.009789,0.7,0.3,-0.635394,0.000254196,0.210048,-0.0948382,-0.635395,0.000254205,0.210124,-0.0948727,2.56041e-05,-7.42941e-08,-0.000343995,0.000155575,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.011942,0.7,0.3,-0.635394,0.000254191,0.210044,-0.0948364,-0.635395,0.000254205,0.210193,-0.094904,3.97138e-05,-1.15235e-07,-0.000673257,0.000304495,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.019177,0.7,0.3,-0.635394,0.000254189,0.210042,-0.0948355,-0.635395,0.000254205,0.210262,-0.0949353,4.66158e-05,-1.35262e-07,-0.000993295,0.000449247,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.021913,0.7,0.3,-0.635394,0.000254188,0.210041,-0.0948351,-0.635395,0.000254205,0.210332,-0.0949666,4.96981e-05,-1.44206e-07,-0.00130846,0.000591796,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.023203,0.7,0.3,-0.635394,0.000254187,0.21004,-0.0948348,-0.635395,0.000254205,0.210332,-0.0949666,5.16246e-05,-1.49796e-07,-0.00131093,0.000592913,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.024404,0.7,0.3,-0.635393,0.000254186,0.21004,-0.0948345,-0.635395,0.000254205,0.210401,-0.0949979,5.4098e-05,-1.56973e-07,-0.00167328,0.000756801,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.025404,0.7,0.3,-0.635393,0.000254186,0.210039,-0.0948342,-0.635395,0.000254205,0.21047,-0.0950291,5.61529e-05,-1.62935e-07,-0.00199373,0.000901736,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.026404,0.7,0.3,-0.635393,0.000254185,0.210038,-0.0948339,-0.635395,0.000254205,0.21047,-0.0950291,5.8706e-05,-1.70344e-07,-0.00199701,0.000903217,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.027404,0.7,0.3,-0.635393,0.000254184,0.210038,-0.0948336,-0.635395,0.000254205,0.21047,-0.0950291,6.09092e-05,-1.76737e-07,-0.00199984,0.000904494,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.028404,0.7,0.3,-0.635393,0.000254183,0.210037,-0.0948334,-0.635395,0.000254205,0.21047,-0.0950291,6.28047e-05,-1.82237e-07,-0.00200228,0.000905594,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.029404,0.7,0.3,-0.635393,0.000254183,0.210036,-0.0948331,-0.635395,0.000254205,0.210539,-0.0950604,6.50101e-05,-1.88636e-07,-0.00232102,0.00104975,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.030405,0.7,0.3,-0.635393,0.000254182,0.210036,-0.0948328,-0.635395,0.000254205,0.210539,-0.0950604,6.72599e-05,-1.95164e-07,-0.00232391,0.00105106,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.031429,0.7,0.3,-0.635393,0.000254181,0.210035,-0.0948325,-0.635395,0.000254205,0.210539,-0.0950604,6.95738e-05,-2.01878e-07,-0.00232688,0.0010524,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.032429,0.7,0.3,-0.635393,0.00025418,0.210034,-0.0948321,-0.635395,0.000254205,0.210539,-0.0950604,7.29175e-05,-2.1158e-07,-0.00233118,0.00105434,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.034167,0.7,0.3,-0.635393,0.000254179,0.210033,-0.0948316,-0.635395,0.000254205,0.210608,-0.0950917,7.65246e-05,-2.22047e-07,-0.00264932,0.00119822,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
