time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0,0.4,0.6,-0.609052,-0.0026437,0.106192,-0.0466191,-0.609052,-0.00264373,0.106193,-0.0466198,-1.47105e-06,6.00459e-07,-1.2921e-05,5.67243e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.004668,0.4,0.6,-0.609052,-0.0026437,0.106191,-0.0466191,-0.609052,-0.00264373,0.106193,-0.0466198,-1.54471e-06,6.30529e-07,-1.3568e-05,5.95649e-06,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.005668,0.4,0.6,-0.609052,-0.00264369,0.106191,-0.046619,-0.609052,-0.00264373,0.106254,-0.0466479,-1.85346e-06,7.56554e-07,-0.000563162,0.000260656,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.006668,0.4,0.6,-0.609052,-0.00264368,0.106191,-0.0466188,-0.609052,-0.00264373,0.106315,-0.0466761,-2.192e-06,8.94741e-07,-0.00113558,0.000525926,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.007668,0.4,0.6,-0.609052,-0.00264367,0.106191,-0.0466187,-0.609052,-0.00264373,0.106315,-0.0466761,-2.52334e-06,1.02999e-06,-0.00113849,0.000527203,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.008668,0.4,0.6,-0.609052,-0.00264366,0.10619,-0.0466186,-0.609052,-0.00264373,0.106315,-0.0466761,-2.82783e-06,1.15428e-06,-0.00114116,0.000528378,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.009668,0.4,0.6,-0.609052,-0.00264366,0.10619,-0.0466184,-0.609052,-0.00264373,0.106375,-0.0467043,-3.15753e-06,1.28886e-06,-0.00170506,0.000789699,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.010668,0.4,0.6,-0.609052,-0.00264365,0.10619,-0.0466183,-0.609052,-0.00264373,0.106436,-0.0467324,-3.48592e-06,1.4229e-06,-0.00233565,0.00108193,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.011668,0.4,0.6,-0.609052,-0.00264364,0.106189,-0.0466181,-0.609052,-0.00264373,0.106436,-0.0467324,-3.80875e-06,1.55467e-06,-0.00233849,0.00108318,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.012668,0.4,0.6,-0.609052,-0.00264363,0.106189,-0.046618,-0.609052,-0.00264373,0.106436,-0.0467324,-4.13419e-06,1.68751e-06,-0.00234134,0.00108443,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
