time [s],fes_share [],exo_share [],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm],elbow_fe_fes_trq [Nm],forearm_ps_fes_trq [Nm],wrist_fe_fes_trq [Nm],wrist_ru_fes_trq [Nm],pw_0 [us],pw_1 [us],pw_2 [us],pw_3 [us],pw_4 [us],pw_5 [us],pw_6 [us],pw_7 [us],amp_0 [mA],amp_1 [mA],amp_2 [mA],amp_3 [mA],amp_4 [mA],amp_5 [mA],amp_6 [mA],amp_7 [mA]
0.026534,0.8,0.2,-0.785385,0,-1.64777e-16,2.3473e-16,-0.784395,1.02937e-06,-1.63711e-05,-0.00269141,-0.246698,-4.40675e-05,0.000256571,0.0427056,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.027643,0.8,0.2,-0.785384,0,-1.64777e-16,2.34729e-16,-0.784275,1.10376e-06,-1.74084e-05,-0.00292005,-0.264781,-4.54186e-05,0.000270864,0.0460392,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.028685,0.8,0.2,-0.785384,0,-1.64776e-16,2.34728e-16,-0.784149,1.17434e-06,-1.83119e-05,-0.00313796,-0.282965,-4.65988e-05,0.000283009,0.0491892,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.029685,0.8,0.2,-0.785383,0,-1.64776e-16,2.34728e-16,-0.78402,1.24081e-06,-1.90691e-05,-0.003343,-0.30124,-4.76138e-05,0.000292848,0.052126,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.030698,0.8,0.2,-0.785382,0,-1.64775e-16,2.34727e-16,-0.783886,1.30295e-06,-1.96705e-05,-0.00353327,-0.319588,-4.84695e-05,0.00030027,0.0548237,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.031773,0.8,0.2,-0.785382,0,-1.64775e-16,2.34726e-16,-0.783748,1.36061e-06,-2.01096e-05,-0.00370716,-0.337999,-4.91716e-05,0.000305212,0.0572605,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.032773,0.8,0.2,-0.785381,0,-1.64774e-16,2.34725e-16,-0.783606,1.41365e-06,-2.03834e-05,-0.00386328,-0.356469,-4.97257e-05,0.000307656,0.0594185,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.033774,0.8,0.2,-0.785381,0,-1.64774e-16,2.34725e-16,-0.783462,1.46201e-06,-2.04916e-05,-0.00400053,-0.374984,-5.01374e-05,0.00030763,0.0612838,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.03512,0.8,0.2,-0.78538,0,-1.64773e-16,2.34724e-16,-0.783314,1.50565e-06,-2.0437e-05,-0.00411807,-0.393516,-5.04124e-05,0.000305204,0.062846,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.03612,0.8,0.2,-0.78538,0,-1.64772e-16,2.34723e-16,-0.783163,1.54456e-06,-2.02252e-05,-0.00421529,-0.412096,-5.05561e-05,0.00030049,0.0640988,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.037144,0.8,0.2,-0.785379,0,-1.64772e-16,2.34722e-16,-0.783009,1.57875e-06,-1.98642e-05,-0.00429185,-0.430693,-5.05737e-05,0.000293631,0.0650395,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.038199,0.8,0.2,-0.785379,0,-1.64771e-16,2.34722e-16,-0.782853,1.60827e-06,-1.93646e-05,-0.00434764,-0.449306,-5.04707e-05,0.000284808,0.0656687,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.039209,0.8,0.2,-0.785378,0,-1.64771e-16,2.34721e-16,-0.782694,1.63318e-06,-1.87387e-05,-0.00438277,-0.467921,-5.02522e-05,0.000274225,0.0659902,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.040218,0.8,0.2,-0.785377,0,-1.6477e-16,2.3472e-16,-0.782534,1.65354e-06,-1.80009e-05,-0.00439758,-0.486536,-4.99234e-05,0.000262113,0.0660113,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.041218,0.8,0.2,-0.785377,0,-1.6477e-16,2.34719e-16,-0.782371,1.66947e-06,-1.71668e-05,-0.0043926,-0.505152,-4.94896e-05,0.00024872,0.0657417,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.042218,0.8,0.2,-0.785376,0,-1.64769e-16,2.34719e-16,-0.782206,1.68104e-06,-1.62532e-05,-0.00436853,-0.523747,-4.8956e-05,0.000234309,0.0651938,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.043219,0.8,0.2,-0.785376,0,-1.64769e-16,2.34718e-16,-0.78204,1.68839e-06,-1.52778e-05,-0.00432625,-0.542326,-4.83277e-05,0.00021915,0.0643824,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.044496,0.8,0.2,-0.785375,0,-1.64768e-16,2.34717e-16,-0.781873,1.69164e-06,-1.42587e-05,-0.0042668,-0.560859,-4.76101e-05,0.000203517,0.0633244,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.045496,0.8,0.2,-0.785375,0,-1.64768e-16,2.34716e-16,-0.781703,1.6909e-06,-1.3214e-05,-0.00419134,-0.57938,-4.68086e-05,0.000187682,0.0620384,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.046501,0.8,0.2,-0.785374,0,-1.64767e-16,2.34716e-16,-0.781533,1.68634e-06,-1.21618e-05,-0.00410113,-0.597864,-4.59284e-05,0.000171913,0.0605445,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.047506,0.8,0.2,-0.785374,0,-1.64767e-16,2.34715e-16,-0.781361,1.67809e-06,-1.11196e-05,-0.00399754,-0.616301,-4.49752e-05,0.000156464,0.0588639,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.048511,0.8,0.2,-0.785373,0,-1.64766e-16,2.34714e-16,-0.781189,1.66631e-06,-1.0104e-05,-0.00388202,-0.634691,-4.39544e-05,0.000141578,0.0570191,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.049581,0.8,0.2,-0.785373,0,-1.64766e-16,2.34713e-16,-0.781015,1.65115e-06,-9.13062e-06,-0.00375606,-0.653022,-4.28717e-05,0.000127475,0.0550329,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
0.050885,0.8,0.2,-0.785371,0,-1.64765e-16,2.34712e-16,-0.780841,1.63278e-06,-8.21388e-06,-0.0036212,-0.671244,-4.17326e-05,0.000114358,0.0529287,0,0,0,0,0,0,0,0,0,0,0,0,65,65,25,25,25,25,25,40
