stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690574,0.134684,0.124161,-1.68861,-0.303341,0.996228,1.25918
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134684,0.124161,-1.68861,-0.305611,0.996228,1.25918
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134684,0.124161,-1.68861,-0.305611,0.996228,1.25918
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134743,0.124128,-1.68861,-0.305611,0.994765,1.26001
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134733,0.124196,-1.68861,-0.305611,0.995011,1.25827
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134733,0.124196,-1.68861,-0.305611,0.995011,1.25827
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134733,0.124196,-1.68861,-0.305611,0.995011,1.25827
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134733,0.124196,-1.68861,-0.305611,0.995011,1.25827
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134724,0.124265,-1.68861,-0.305611,0.995254,1.25656
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134724,0.124265,-1.68861,-0.305611,0.995254,1.25656
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134724,0.124265,-1.68861,-0.305611,0.995254,1.25656
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134724,0.124265,-1.68861,-0.305611,0.995254,1.25656
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134724,0.124265,-1.68861,-0.305611,0.995254,1.25656
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134724,0.124265,-1.68861,-0.305611,0.995254,1.25656
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690523,0.134714,0.124333,-1.68861,-0.305611,0.995495,1.25485
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134714,0.124333,-1.68861,-0.307423,0.995495,1.25485
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134714,0.124333,-1.68861,-0.307423,0.995495,1.25485
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134704,0.124402,-1.68861,-0.307423,0.995738,1.25314
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134656,0.124368,-1.68861,-0.307423,0.996938,1.25399
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
0,0,-1.0472,-0.698132,0.174533,0.174533,-1.03313,-0.690472,0.134647,0.124436,-1.68861,-0.307423,0.997176,1.2523
