stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
30,30,-1.22173,-1.22173,0.261799,0,-1.20608,-1.19883,0.23834,-0.057094,-1.56534,-0.64117,0.351889,0.85641
