stim_pw [us],stim_amp [mA],com_elbow_fe [rad],com_forearm_ps [rad],com_wrist_fe [rad],com_wrist_ru [rad],act_elbow_fe [rad],act_forearm_ps [rad],act_wrist_fe [rad],act_wrist_ru [rad],elbow_fe_trq [Nm],forearm_ps_trq [Nm],wrist_fe_trq [Nm],wrist_ru_trq [Nm]
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.19916,1.14503,-0.372484,-0.205973,0.369401
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160864,-0.199144,1.14503,-0.372484,-0.205005,0.369153
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160861,-0.199084,1.14503,-0.372484,-0.205051,0.368257
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.199103,1.14503,-0.372484,-0.205972,0.368542
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.199103,1.14503,-0.372484,-0.205972,0.368542
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160799,-0.199103,1.14503,-0.372484,-0.205972,0.368542
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160867,-0.199146,1.14503,-0.372484,-0.20495,0.36919
23,45,-0.0872665,-0.698132,-0.174533,-0.174533,-0.0987168,-0.684829,-0.160867,-0.199146,1.14503,-0.372484,-0.20495,0.36919
